obs_p,obs_q,obs_teta,obs_DateTime
0.0,12.056,,
0.0,11.741,,
0.0,11.571,,
0.0,11.21,,
0.0002,10.755,,
0.0017000000000000001,10.565,,
0.0007000000000000001,10.422,,
0.0010999999999999998,10.589,,
0.0001,10.399,,
0.0,10.494,,
0.0,10.565,,
0.0,10.589,,
0.0,10.803,,
0.0,10.851,,
0.0,10.708,,
0.0002,10.399,,
0.0006000000000000001,10.162,,
0.0001,9.95,,
0.0,9.833,,
0.0,9.669,,
0.00030000000000000003,9.435,,
0.0007000000000000001,9.575,,
0.0006000000000000001,9.88,,
0.0,9.903,,
0.0,9.95,,
0.0,10.044,,
0.0,10.233,,
0.0005,10.446,,
0.0011,10.731,,
0.0023,11.114,,
0.0038,11.571,,
0.0047,12.84,,
0.006199999999999999,15.545,,
0.0019000000000000004,20.296,,
0.0013,26.314,,
0.0017,33.115,,
0.0021000000000000007,38.403,,
0.00030000000000000003,41.963,,
0.0,45.269,,
0.0,49.275,,
0.0002,53.975,,
0.0001,55.122,,
0.00030000000000000003,53.276,,
0.00030000000000000003,51.473,,
0.0,49.431,,
0.0004,46.876,,
0.0002,44.438,,
0.0002,41.659,,
0.0,38.702,,
0.0,36.141,,
0.0001,34.607,,
0.0002,32.94,,
0.0001,31.432,,
0.00030000000000000003,29.88,,
0.0,28.257,,
0.0,26.847,,
0.0,25.728,,
0.0,24.563,,
0.0,23.599,,
0.0,22.425,,
0.0,21.747,,
0.0001,20.912,,
0.0,20.296,,
0.0,19.683,,
0.0,18.863,,
0.0,18.284,,
0.0,17.944,,
0.0,17.345,,
0.0,16.827,,
0.0,16.466,,
0.0005,15.953,,
0.0005,15.57,,
0.0,15.341,,
0.0001,14.936,,
0.0,14.683,,
0.0,14.432,,
0.0,14.181,,
0.0,13.981,,
0.0,13.607,,
0.0,13.383,,
0.0,13.111,,
0.0,12.914,,
0.0,12.545,,
0.0,12.374,,
0.0004,12.129,,
0.0,11.838,,
0.0,11.571,,
0.0,11.403,,
0.0,11.234,,
0.0001,11.018,,
0.0,10.803,,
0.0,10.636,,
0.0,10.399,,
0.0,10.233,,
0.0,10.044,,
0.0,9.833,,
0.0,9.669,,
0.0,9.482,,
0.0,9.272,,
0.0,9.064,,
0.0,8.925,,
0.0,8.787,,
0.0,8.672,,
0.0,8.535,,
0.0,8.329,,
0.0,8.261,,
0.0,8.125,,
0.0,8.057,,
0.0,7.921,,
0.0,7.763,,
0.0,7.651,,
0.0,7.583,,
0.0,7.449,,
0.0,7.338,,
0.0,7.249,,
0.0,7.249,,
0.0,7.16,,
0.0,7.049,,
0.0,6.961,,
0.0,6.851,,
0.0,6.763,,
0.0,6.697,,
0.0,6.609,,
0.00030000000000000003,6.544,,
0.0007,6.479,,
0.0002,6.457,,
0.0002,6.457,,
0.0007,6.413,,
0.0002,6.37,,
0.0002,6.326,,
0.0,6.305,,
0.0,6.261,,
0.0,6.261,,
0.0002,6.218,,
0.0,6.196,,
0.0001,6.261,,
0.0001,6.283,,
0.0,6.413,,
0.0,6.588,,
0.0,6.741,,
0.0,6.873,,
0.0,6.961,,
0.0,7.071,,
0.0,7.116,,
0.0,7.116,,
0.0,7.027,,
0.0,6.917,,
0.0,6.741,,
0.0,6.631,,
0.0,6.479,,
0.0,6.348,,
0.0,6.261,,
0.0,6.11,,
0.0001,6.11,,
0.00030000000000000003,6.024,,
0.0004,5.96,,
0.0006,5.917,,
0.00030000000000000003,5.938,,
0.0001,6.003,,
0.0001,5.981,,
0.0,6.003,,
0.0002,6.089,,
0.0001,6.132,,
0.0,6.175,,
0.0,6.24,,
0.0001,6.196,,
0.0,6.175,,
0.0,6.153,,
0.0,6.089,,
0.0,6.046,,
0.0,5.917,,
0.0,5.852,,
0.0,5.81,,
0.0002,5.724,,
0.0001,5.703,,
0.0001,5.639,,
0.0,5.554,,
0.0,5.491,,
0.0,5.449,,
0.0,5.427,,
0.0,5.427,,
0.0,5.576,,
0.0,5.364,,
0.0,5.322,,
0.0,5.259,,
0.0,5.238,,
0.0,5.238,,
0.0,5.217,,
0.0,5.196,,
0.0,5.154,,
0.0,5.112,,
0.0,5.05,,
0.0,5.029,,
0.0,5.05,,
0.0,4.987,,
0.0,4.987,,
0.0,4.967,,
0.0,4.946,,
0.0,4.904,,
0.0,4.904,,
0.0,4.884,,
0.0001,4.884,,
0.0,4.884,,
0.0,4.904,,
0.0,4.925,,
0.0,4.904,,
0.0,4.904,,
0.0001,4.925,,
0.0,4.925,,
0.0,4.946,,
0.0,4.967,,
0.0,4.967,,
0.0,5.008,,
0.0,5.008,,
0.0001,5.029,,
0.0,5.05,,
0.0,5.071,,
0.0,5.092,,
0.00030000000000000003,5.05,,
0.0008,5.092,,
0.0002,5.259,,
0.0,5.364,,
0.0001,5.491,,
0.0002,5.66,,
0.0002,5.852,,
0.0001,6.11,,
0.0001,6.305,,
0.0002,6.435,,
0.0001,6.544,,
0.0,6.566,,
0.0,6.609,,
0.0,6.544,,
0.0,6.5,,
0.0,6.413,,
0.0,6.326,,
0.0,6.218,,
0.0,6.11,,
0.0,6.003,,
0.0,5.874,,
0.0,5.767,,
0.0,5.682,,
0.0,5.554,,
0.0,5.512,,
0.0,5.449,,
0.0,5.385,,
0.0,5.322,,
0.0,5.259,,
0.0,5.175,,
0.0,5.175,,
0.0,5.133,,
0.0,5.112,,
0.0,5.092,,
0.0,5.071,,
0.0,5.05,,
0.0,5.05,,
0.0,5.029,,
0.0,5.05,,
0.0,5.029,,
0.0,5.029,,
0.0,5.008,,
0.0,5.029,,
0.0,4.987,,
0.0,4.967,,
0.0,4.967,,
0.0,4.967,,
0.0,4.967,,
0.0,4.946,,
0.0,4.904,,
0.0,4.904,,
0.0,4.863,,
0.0,4.822,,
0.0,4.822,,
0.0,4.801,,
0.0,4.739,,
0.0,4.739,,
0.0,4.719,,
0.0,4.698,,
0.0,4.677,,
0.0,4.677,,
0.0,4.677,,
0.0,4.636,,
0.0,4.616,,
